"","Activated_B_cell","Activated_CD4_T_cell","Activated_CD8_T_cell","Central_memory_CD4_T_cell","Central_memory_CD8_T_cell","Effector_memory_CD4_T_cell","Effector_memory_CD8_T_cell","Regulatory_T_cell","T_follicular_helper_cell","Type_1_T_helper_cell","Type_2_T_helper_cell","Type_17_T_helper_cell","Activated_dendritic_cell","Immature_dendritic_cell","Plasmacytoid_dendritic_cell","Macrophage","M1_Macrophage","M2_Macrophage","Monocyte","Natural_killer_cell","Neutrophil","Mast_cell","Eosinophil","MDSC","Natural_killer_T_cell"
"GSM363184",3.6557,3.7599,5.72225,4.5395,5.11625,5.40133333333333,5.941,3.57733333333333,4.227375,3.58033333333333,3.302625,3.89733333333333,4.21033333333333,3.61733333333333,4.66533333333333,5.42819444444444,4.0783,5.04983333333333,6.0355,4.06016666666667,4.185625,4.34306666666667,3.45088888888889,3.96575,4.591
"GSM363185",3.70545,3.9629,4.45,5.08525,4.97775,5.72583333333333,5.383625,3.45783333333333,4.313625,3.619,3.333625,4.1365,4.52675,4.304,4.47333333333333,6.73486111111111,4.2507,7.83083333333333,8.9685,4.379875,4.67325,4.18581666666667,3.79577777777778,5.923125,4.9125
"GSM363186",3.7504,3.7878,4.25,4.671375,4.68525,5.26616666666667,5.076,3.47166666666667,4.192875,3.61733333333333,3.28566666666667,4.28833333333333,3.89258333333333,4.36533333333333,4.60316666666667,6.11508333333333,3.6649,7.37175,8.036,4.31152083333333,4.063,3.72121666666667,3.69188888888889,5.846625,4.85158333333333
"GSM363187",4.06225,4.276,4.5085,4.905625,4.73525,5.50983333333333,5.05875,3.85466666666667,4.382875,3.788,3.63975,4.61216666666667,3.98633333333333,4.295,4.39683333333333,5.55733333333333,3.6733,7.24575,7.9675,4.37352083333333,4.069375,3.82335,3.96733333333333,6.0355,4.77658333333333
"GSM363188",3.769,3.8767,4.36475,5.040625,5.051,5.25433333333333,5.038125,3.61466666666667,4.29225,3.60166666666667,3.32445833333333,4.22466666666667,4.10558333333333,4.01133333333333,4.74916666666667,5.78925,3.6266,7.263,7.935,4.30385416666667,4.000375,3.81645,3.91077777777778,6.116125,5.00858333333333
"GSM363189",4.0054,4.0231,4.609,5.384,5.49475,5.57333333333333,5.33925,3.76433333333333,4.536,3.68666666666667,3.39158333333333,4.38733333333333,4.54816666666667,4.53966666666667,4.64016666666667,5.83011111111111,3.7853,7.35058333333333,8.0735,4.363125,4.2965,3.98903333333333,4.09122222222222,5.8965,5.13183333333333
"GSM363190",3.70945,3.704,3.9465,4.554375,4.40675,4.45866666666667,4.094625,3.57633333333333,4.26175,3.65633333333333,3.29366666666667,3.92933333333333,4.33733333333333,4.101,4.50666666666667,5.14544444444444,3.8836,6.67733333333333,7.1175,3.8433125,4.097125,3.93935,3.62366666666667,6.0745,4.49208333333333
"GSM363191",3.9522,3.938,4.4845,5.613,5.62025,5.67683333333333,5.395125,3.544,4.264375,3.56933333333333,3.40983333333333,4.02033333333333,4.358,4.54166666666667,4.69916666666667,6.32591666666667,3.8242,7.6885,8.5765,4.407375,4.484,4.57481666666667,3.93577777777778,5.93125,5.18383333333333
"GSM363192",3.72215,3.6516,3.827,4.142125,4.12575,4.06266666666667,3.963875,3.549,4.17975,3.52566666666667,3.257125,4.2695,3.852,3.84666666666667,4.368,3.88377777777778,3.5213,5.90433333333333,5.7655,3.66770833333333,3.939375,3.77325,3.69233333333333,5.758125,4.12883333333333
"GSM363193",3.90955,3.9978,4.441,5.179875,5.2395,5.93016666666667,5.6955,3.72683333333333,4.34275,3.438,3.37633333333333,4.305,4.18733333333333,4.11333333333333,4.64666666666667,6.18922222222222,3.6503,7.55341666666667,8.4395,4.49904166666667,4.35775,3.85056666666667,3.86055555555556,5.978125,5.18916666666667
"GSM363194",3.7683,3.7999,4.1,4.955875,4.8975,4.737,4.474125,3.53083333333333,4.097625,3.54666666666667,3.206,3.73566666666667,4.19766666666667,4.055,4.5295,5.06086111111111,3.4499,6.38533333333333,5.8755,3.80947916666667,3.955125,3.97325,3.55166666666667,5.40025,5.30541666666667
"GSM363195",4.1426,4.0016,4.38675,4.9285,4.859,5.1645,4.972625,3.80566666666667,4.317375,3.78633333333333,3.47695833333333,4.50816666666667,4.376,4.19733333333333,4.50266666666667,5.46411111111111,3.7964,7.04058333333333,7.5995,4.33864583333333,4.2285,4.07138333333333,4.22611111111111,5.944375,4.64375
