"","Cisplatin_1005","Docetaxel_1007","Gefitinib_1010","Navitoclax_1011","Vorinostat_1012","Olaparib_1017","Axitinib_1021","AZD7762_1022","Afatinib_1032","Nutlin-3a (-)_1047","MK-2206_1053","AZD8055_1059","5-Fluorouracil_1073","Paclitaxel_1080","Crizotinib_1083","Rapamycin_1084","Sorafenib_1085","Oxaliplatin_1089","BMS-536924_1091","GSK1904529A_1093","Erlotinib_1168","MK-1775_1179","Gemcitabine_1190","Bortezomib_1191","GSK269962A_1192","BMS-345541_1249","Trametinib_1372","Dabrafenib_1373","Temozolomide_1375","AZD5438_1401","AZD2014_1441","AZD1208_1449","AZD1332_1463","Lapatinib_1558","AZD5582_1617","GSK2606414_1618","I-BET-762_1624","GSK343_1627","AZD5153_1706","AZD5991_1720","Selumetinib_1736","AZD4547_1786","Ibrutinib_1799","Oxaliplatin_1806","Vincristine_1818","Docetaxel_1819","Venetoclax_1909","AZD3759_1915","AZD5363_1916","AZD6738_1917","AZD8186_1918","Osimertinib_1919","GSK2578215A_1927","BPD-00008900_1998","MK-8776_2046","GSK591_2110","AZD6482_2169","BMS-754807_2171","JQ1_2172"
"GSM362958",3.13839573856578,-4.46180944777079,3.24295693607699,2.02896344234913,2.3002768381673,4.46053246788335,2.62149533853492,0.0616578157919971,2.05090199023163,5.83573800589178,3.1964931935173,-0.105878921999989,5.01329580484079,-2.47593005121126,3.58220742157522,-2.50040870033833,2.80581303151767,4.22770732521014,2.40799767855181,4.15385922919406,2.50275877903664,0.638040809094089,0.0316876175417989,-4.91722241619643,2.65747899398902,3.39594431969249,0.567938794346263,4.18153665075765,6.01247040946762,2.65174700451741,2.29995192524599,5.45758019059065,3.9896979354645,3.33835503896784,2.58276861401139,4.00465765384106,3.8344366225735,3.00402850567727,2.02825167066892,4.03663217642621,4.26715428660842,2.73545171166835,4.43740823964621,5.27381440908584,-1.2205188115733,-1.22360805151495,2.41083698402614,2.85232515822873,2.80452431997356,2.12142849574783,3.34939258953118,2.02127063664372,5.01961790606375,4.67324473529312,3.1431826346859,4.80558310252557,2.55605676049327,0.764576777679631,2.70325446551961
"GSM362959",2.77636573976103,-4.77015601877624,3.04723509020043,0.851278090591464,1.56831886686907,3.94082616877111,2.54275521806141,-0.425626952177758,1.27127717035917,4.67648968193676,2.70168029023005,-0.0811500961405886,4.86202670865263,-3.03519658622779,3.26478473739191,-2.20386626966026,2.16568849079114,3.46085754753087,1.76114498463616,4.02122930844525,2.35462969257354,0.404052683242446,-0.512084078969169,-4.93576167963613,2.67020603810134,3.57285729327227,-0.360342603599681,3.8595957634435,5.87339824678987,2.24997076068279,2.08921840782978,5.31955039807891,3.67557083667167,2.64236397554799,1.9769477826181,3.58513915417694,3.35421950361876,2.71884303194125,1.5341256716023,4.61085519224521,3.49474656523024,2.4558373923432,3.87293405061595,4.66566594401246,-1.93769651942312,-2.3543748339977,1.00245853191166,2.71037616562551,2.58443143803742,1.71750738877946,3.09549390565587,1.6286650504582,4.79869401164711,4.39943632993942,3.00671932510624,4.43927674969059,2.99787987724718,0.523923329096144,2.46917071633933
"GSM362960",3.19550508694517,-4.31806338314463,3.33419797049932,0.898250182748563,1.72582733034094,4.12138250236934,2.69161775876153,0.0580490279316882,2.17081776552702,3.84041106359512,3.04904662775684,-0.190116231224584,5.18998272745349,-2.86325414130194,3.38685491137166,-2.07886640255746,2.5223732585523,3.86746825555019,1.79546442355051,4.47631581184878,2.75579690873594,0.614867513037093,-0.210598093207309,-4.7940951179481,2.59481490214802,3.81145225372226,0.708015595807677,4.03048016408082,6.18333055201756,2.68689793317665,2.32729991843367,5.18237600815878,3.79180670824798,3.00051799459463,1.96665908975054,4.05278246486863,3.63758228491262,2.88236754770361,1.67517027998652,4.84642239062392,4.15569455365226,2.6541293355313,4.43798448286052,4.71860600484186,-1.44545187750427,-1.64936121486891,1.48840937988036,2.84927798539549,2.79643340968647,2.15221454484482,3.32257698959007,1.79558205682583,4.88811345726867,4.74989210964465,3.52654029617232,4.71720957283296,3.20703715231509,-0.34895160874825,2.26146961485636
"GSM362961",3.23921449443747,-4.04826243300045,2.77708595797477,0.817875547072391,1.36382029746307,4.01967695080001,2.76754217395847,-0.188742676666411,0.937641502372252,3.39546850502397,2.07697061394076,-0.565863694458202,5.20423282063923,-1.8313173788897,2.93973694509658,-2.01831034520213,2.40059645549749,3.57048935708442,2.12549607432088,4.33190186132552,2.35252421016423,0.986708838276207,-1.4002928674727,-4.56565630250104,2.18725171955353,3.88005337687744,0.411964046289173,3.90936321479312,5.83492989488706,2.03748220906386,1.72766958508283,4.84928982516058,3.40792872415836,2.61008752956286,2.01727005325114,3.51712673948874,3.54429065714685,2.75054244391321,1.59926635224416,4.26957281588504,3.64736992235044,3.05151670144673,3.79503146430385,4.34253279379922,-1.4347385955636,-1.06613613318946,2.1120312866818,2.28476144552516,2.22344749088601,1.93940587238232,2.37757132678964,1.3120563108924,4.72806973720598,4.69766919528828,2.65973367644769,4.6625290528063,2.13918118182873,-1.86986961325686,1.87663625488049
"GSM362962",3.26746033115504,-4.35609156868223,3.00939759721243,2.00157808018102,1.64911135379626,4.19819256925863,2.67745129484416,0.174358206404165,1.67163992216841,3.7164229501415,2.88635094776977,-0.335745460965594,4.60427922142745,-2.36731162777381,3.07207235591539,-2.3106884103373,2.34157858537874,3.42342125202674,2.16544852187652,4.25521909055806,2.51085573108908,0.973207629054098,-1.03397024969158,-4.51665091273143,2.46247604655333,3.47649411311039,0.522994470484343,4.15858281708372,5.92897653096592,2.2683206333611,1.84542966831029,5.18222417459988,3.53622255579581,2.96044111061051,2.23355098317665,3.49570379723627,3.28678776244699,2.84287809662002,1.42900934834456,4.07425263801399,3.98480436587479,2.79154140475487,4.17289011059279,4.48329109123914,-1.66799550609784,-1.9924490325642,2.03984952621986,2.55178410351011,2.69379679415488,2.3406489063835,3.13190252400035,1.58213011885094,4.8072780254864,4.55724454684664,3.10669937551156,4.6440935970121,2.48749341735593,-0.689216541896665,2.24566494797267
"GSM362963",3.23432319922239,-4.41068129173561,3.06335085898809,1.87913759418937,1.44394173986741,4.07071262325583,2.94247968354727,0.162713459584387,1.61755605175291,3.76311388691559,2.65762383981722,-0.410239203963919,4.67816992186868,-2.38900005297339,2.9682926409936,-2.38033125630923,2.31223128840289,3.35252146272133,2.0537216366094,4.14871045127742,2.48248392678455,0.907236883381649,-1.26128404497609,-4.5214205865395,2.42423862763541,3.40985460681967,0.842734534983561,4.36458164619389,5.86356629449173,2.13507779367247,1.7744668920225,5.05322284922334,3.4904804209439,2.88372712603526,2.32248586488961,3.49418737673719,3.28003033320307,2.76250282444944,1.30315981708488,3.73746443694132,3.99991376196466,2.71584248700235,4.08281192421827,4.3995719933888,-1.846978347645,-2.32003833771649,1.77062923219156,2.49855451889919,2.64682160582975,2.23154376511201,2.98734983862254,1.56140764877043,4.79599015627909,4.57641889041357,2.93808059536424,4.55376023663147,2.28092453176016,-1.1454548079834,2.15736590714354
"GSM362964",3.57702208793208,-4.1044615658642,3.55950074748643,1.92699316388387,1.92846082522509,4.3519027417372,2.9378627065677,0.459237751636335,2.15222435856323,5.4337772035471,3.04402401817306,-0.417822585737893,4.97288990066846,-2.50277764681526,3.21510626014547,-2.3297003664425,2.57048909503709,4.2889845052103,2.57763164493375,4.27268793294014,2.71942629621986,1.25672189334393,0.441183089164212,-4.56778136966827,2.42908357033898,3.54809673456062,0.944668770818142,4.2869647107082,5.91036528833514,2.59461771216115,2.02643889021171,5.22334677443022,4.10812721249519,3.27721460100525,1.66933312420018,3.93411412626057,3.53533874282249,2.83747772759852,1.47574323024601,3.53249523384417,4.19369218012849,2.89248191907389,4.43298296782973,5.39720736084791,-1.03561126199769,-1.68984020046839,2.1874859574836,2.90533851127977,3.18908668370385,2.71609890558762,3.52052832187374,2.05916195444664,4.78755719122302,4.64400749213235,3.46188375790294,4.53172653401487,2.64829686963626,-0.239856706271153,2.47068786625771
"GSM362965",3.43526795168582,-4.28783884670755,3.56489264070587,1.77872862870824,2.08918916491224,4.42413139087678,2.8892906127912,-0.0555512265559464,2.03135566639858,5.3985787505624,2.97390681632694,-0.345794303994216,5.0009190708274,-2.05549990577707,3.44686998476346,-2.50666509030376,2.64721518195298,4.28259502490047,2.23554488820817,4.17983785520289,2.83992169691047,1.07040063184527,0.0642377542902031,-4.68969235150709,2.62610039856615,3.79160788466021,0.757918379972571,4.34214722489897,5.9527961471934,2.54202652756191,1.77776387248187,5.34802938854652,3.80797706480088,3.00069615444195,2.46133761392646,3.79351918354671,3.47393956291886,2.87695603092395,1.56029151255742,4.21382090361578,4.28494241065422,2.94996470785406,4.55316512297639,5.37207100391921,-1.4045631146581,-1.61545518329957,1.9887975945856,2.99712942586461,2.66802519072275,2.33257990034375,3.15755952417468,1.94990261033279,4.85345659896027,4.61851549069149,3.28086356338676,4.76549671626958,2.91141124783364,-0.104125213394082,2.45834463911774
"GSM362966",4.48407750207703,-3.09666991233097,3.46743333219261,1.33386932781533,2.18844325363649,4.96980527024004,3.4791244726639,0.737555421469266,2.06578920205551,5.9564626833626,3.27518923365255,-0.122450477929216,5.99031343031591,-0.919516209167994,3.62195719507274,-1.73950306794991,3.14113405537985,4.88279403497213,2.92611688213687,4.58266509620611,2.64862626896031,1.52884289347,1.94561943712182,-4.5820167959944,2.94185415577652,4.01783485330628,1.20272844244428,5.27854820742079,6.75756707754163,2.99688942327012,2.19635254448448,5.45033771560419,4.3506072448331,3.19856986790195,2.80589922841252,4.19671515641729,3.78518752142962,3.02269591417407,2.09004042787041,4.30569457535718,4.60869172017669,3.35630148710768,4.56977325979596,5.89592487846647,-0.233587545085601,-0.621111037630448,2.12489884054181,2.85584252165906,3.73061830751624,2.94383171663066,3.5482584269144,2.07712597539877,5.34136460320023,5.09257197677083,3.75368000609161,5.20980591159249,3.03765705167275,0.812484662919879,2.61950838927773
"GSM362967",3.08713849904996,-4.41515565996239,2.81544116015567,1.24317655394792,1.31629413638453,4.01989675424092,2.83394488073432,-0.11271092661435,1.2918336774331,3.56364831183037,2.25248077138399,-0.378189696724894,4.55485431016093,-2.30663281815233,2.86345493486737,-2.3821833633114,2.21577414119098,3.23232448013958,2.06460869513057,4.19649627671353,2.37500594705792,0.646201982869646,-1.50925152756518,-4.6627301820303,2.38511743698844,3.52456394882461,0.21183347239037,3.89835109121856,5.69538862563038,2.06505551913866,1.7632857163216,4.97876906032601,3.481015443714,2.67637369754237,2.34938122161846,3.38455087536189,3.37683070208893,2.71129476097533,1.44561657950492,3.48889682757098,3.61647759154729,2.83749723370571,3.91383184812251,4.32938564974265,-1.87677465406873,-1.9903547597407,1.79946092943632,2.36697621412708,2.2855212727541,1.94652928237293,2.55917974626564,1.39467119881405,4.73507673204766,4.5947350540818,2.53022532155377,4.47012443452161,2.43421717338081,-1.34308213840482,2.11663086260751
