"Dataset","Sample_N","Events","HR_per_1SD","CI95_L","CI95_U","P_value"
"GSE14520 (Discovery)",221,85,2.24804467504277,1.7500483584456,2.88775155074964,2.29331040881325e-10
"TCGA-LIHC",370,130,1.23781228941735,1.08755902908453,1.40882400206116,0.00123243706214224
