"logFC","AveExpr","t","P.Value","adj.P.Val","B","ProbeID","Gene"
-2.3778707070707,6.39108764044944,-43.7248861113119,2.20692969156944e-163,4.91439103718684e-159,362.879877621478,"209365_s_at","ECM1"
-2.85285686868685,5.69850337078652,-41.676582864012,6.51648784623417e-156,7.25545756799712e-152,345.784940130848,"205019_s_at","VIPR1"
-3.45605070707069,5.1390404494382,-41.4067045142205,6.52530925536538e-155,4.84351954994921e-151,343.494483440371,"218002_s_at","CXCL14"
-1.91742585858585,4.88907865168539,-38.0212619872459,4.96902787479618e-142,2.76625781789904e-138,313.993391950347,"220114_s_at","STAB2"
-3.3611909090909,7.37331235955056,-36.6579722879969,1.14419966837646e-136,5.0958076430814e-133,301.706256897152,"205866_at","FCN3"
-4.24271232323232,6.49746292134831,-35.8746179595905,1.53271232440157e-133,5.68840633996236e-130,294.539419658046,"207609_s_at","CYP1A2"
-3.01608959595958,6.82184269662921,-35.1467051550683,1.32147177213357e-130,4.20379048883863e-127,287.810129221529,"204428_s_at","LCAT"
2.52480929292931,6.58757078651685,33.0759004036766,4.25830167465743e-122,1.1852982711409e-118,268.301497375462,"203554_x_at","PTTG1"
-2.65966191919191,4.83681348314607,-32.7180220532085,1.32713148947328e-120,3.28361822306567e-117,264.875854556577,"207804_s_at","FCN2"
-2.25173292929292,5.24846516853933,-32.7021435096374,1.54647708036346e-120,3.44369516255335e-117,264.723498285304,"220496_at","CLEC1B"
-1.70952484848484,4.59305168539326,-32.5805978955865,4.9921015003381e-120,1.01058287463208e-116,263.556229955262,"205911_at","PTH1R"
-2.81381565656565,5.88858876404494,-32.5252152235764,8.52005009693253e-120,1.58103729632078e-116,263.023759268523,"205225_at","ESR1"
2.47618515151517,6.36387191011236,32.44564693342,1.83766985483444e-119,3.1477871021118e-116,262.258101174057,"211762_s_at","KPNA2"
-5.19371464646462,9.23812359550562,-32.005979864907,1.30275371039264e-117,2.07212283021595e-114,258.01341523946,"207608_x_at","CYP1A2"
-2.12906363636363,4.74457078651685,-31.9249299445349,2.86490913960833e-117,4.25305311471988e-114,257.22837086809,"210481_s_at","CLEC4M"
-3.81176616161615,7.1069797752809,-31.837448780529,6.7127425809365e-117,9.34245948701837e-114,256.380142829798,"206797_at","NAT2"
1.56962131313133,8.81046966292135,31.4114626643449,4.29769214217738e-115,5.62947109541211e-112,252.236575132268,"200910_at","CCT3"
3.03965747474749,5.2817191011236,31.3655514930306,6.73710575400118e-115,8.33454838500546e-112,251.788700504768,"219918_s_at","ASPM"
2.32516616161618,7.47156853932584,31.3167858219379,1.08634709538638e-114,1.27319879579284e-111,251.312704549003,"201088_at","KPNA2"
2.21912959595962,5.2482,30.5421896737667,2.22865384414257e-111,2.48138319006834e-108,243.714309361721,"222077_s_at","RACGAP1"
-3.53836838383836,7.26071460674157,-30.4336661384351,6.52359521111114e-111,6.91749610290585e-108,242.644147410285,"207262_at","APOF"
-3.740732020202,7.7135595505618,-30.3071724206694,2.2851159892648e-110,2.31295285677039e-107,241.395062760728,"209189_at","FOS"
2.52895444444446,5.93733483146067,30.284109108467,2.87247886726694e-110,2.78105910505653e-107,241.167121443393,"212554_at","CAP2"
2.5271481818182,4.90570337078652,29.9938309161434,5.13942466508514e-109,4.7685295184215e-106,238.293013475275,"214710_s_at","CCNB1"
2.4569888888889,5.00819775280899,29.9232779583038,1.03753037516761e-108,9.2414905576929e-106,237.593003835689,"218009_s_at","PRC1"
