"cohort","tau","rmst_low","rmst_high","diff_high_minus_low","ci_low","ci_high"
"GSE14520",60,52.9168037058773,36.4428712476336,-16.4739324582437,-22.2005281862652,-11.5581684713666
"TCGA-LIHC",60,45.0809109963475,36.8995720529072,-8.18133894344036,-13.0125932397274,-2.80526711262621
