"Gene","Coefficient"
"SLC27A5",-0.171652797959394
"NDRG1",0.175124857356296
"PKM",-0.0479586539991184
"G6PD",0.1190431371826
"ENO1",0.150068533974517
"CNIH4",0.371999408628468
"FADS1",0.268099501373384
"GJA1",0.181430443418102
"BGN",0.308814052397708
