"Dataset","Contrast","LRT_df","LRT_chisq","LRT_p"
"TCGA-LIHC","Gene-only vs Combined",6,6.00545862852937,0.422578878863246
"TCGA-LIHC","Clinical-only vs Combined",1,9.19590247751967,0.00242557472888962
