"gene","n_low","n_high","mut_low","mut_high","fisher_p","odds_ratio"
"TP53",178,179,39,68,0.00117191714685797,2.17859910712635
"CTNNB1",178,179,59,34,0.00256860142566157,0.473936040264446
"NFE2L2",178,179,8,2,0.0613911607792516,0.240983192163268
"ALB",178,179,27,17,0.110098549986283,0.58775417395512
"ARID1A",178,179,16,12,0.438948982234452,0.728194701901355
"KEAP1",178,179,8,10,0.809690253169939,1.25658943055888
"AXIN1",178,179,12,14,0.83907362534272,1.17321005157614
"ARID2",178,179,9,10,1,1.11078301815091
