"cohort","cindex_observed","cindex_random_mean","cindex_random_median","cindex_random_q05","cindex_random_q95","p_empirical_ge"
"GSE14520",0.704611159294594,0.536813023995374,0.533427291124603,0.494496241688349,0.590730702515178,0.000999000999000999
"TCGA-LIHC",0.633612106730386,0.550879059411317,0.553962564715253,0.488030846095362,0.605847000470656,0.003996003996004
