"Dataset","Sample_N","Events","Model","C_index","C_index_SE","LogLik","AIC"
"TCGA-LIHC",367,128,"Gene-only",0.634448804323684,0.0282137698208917,-649.47841738049,1300.95683476098
"TCGA-LIHC",367,128,"Clinical-only",0.546605463833568,0.0274705279762133,-651.073639304985,1314.14727860997
"TCGA-LIHC",367,128,"Combined",0.632894054934478,0.0270144701616955,-646.475688066226,1306.95137613245
