"Variable","HR","HR_lower","HR_upper","P_value"
"risk_score",2.37233166908384,1.70477877515346,3.3012832105629,2.99137727464934e-07
"tumor_sizeLarge",0.874019930912737,0.483435767117557,1.58017029684721,0.655842592584838
"afpHigh",1.10082057841984,0.709374091044756,1.70827488791965,0.668334988323066
"tnm_groupAdvanced",2.53970319264097,1.40528764188755,4.58987335720615,0.00202329818085498
