"Dataset","Sample_N","Events","AUC_1y","AUC_3y","AUC_5y","Logrank_P_median","Logrank_P_traincut","C_index","Scaling"
"TCGA-LIHC",370,130,0.711788281466926,0.618600781172773,0.597691702384484,0.00243974513828638,4.50875858870603e-09,0.631331233481771,"Train-frozen"
"GSE76427",115,23,0.408037320463757,0.516105058085288,NA,0.985161884485608,NA,0.554260742898762,"Train-frozen"
"GSE10143-HCC",82,32,NA,0.581164618749551,0.487195969436118,0.751357152557514,NA,0.536528345996493,"Train-frozen"
"GSE27150",81,28,0.512820512820513,0.545560741630906,NA,0.669845960995899,NA,0.5,"Train-frozen"
"ICGC-LIRI-JP (HCCDB18)",203,35,0.624248929385037,0.68302789954581,NA,0.144803898867199,0.43258176144143,0.614337204645575,"Train-frozen"
